question_text,question_context,grade,topic,followup_1,followup_1_context,followup_2,followup_2_context,answer_junior,answer_middle,answer_senior,source
"Как бы вы спроектировали систему для оформления заказов в интернет-магазине: монолит или микросервисы, и почему?","Интервьюер проверяет, как вы принимаете архитектурные решения и объясняете их с учетом ограничений бизнеса и команды.",мидл-сеньор,архитектура,а если через полгода нагрузка вырастет в 10 раз - решение останется прежним?,"Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.",а если бюджет на инфраструктуру резко урежут - что измените в решении?,"Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.","Пример к основному вопросу: Смотрю на размер команды и на то, есть ли уже узкое место, которое нужно масштабировать отдельно. Если команда маленькая и нагрузка равномерная - монолит, если команда растет и части системы должны релизиться независимо - микросервисы.
Пример к первому дожиму: Если узкое место конкретное, а не вся система - выделяю в отдельный сервис только этот кусок, остальное оставляю как есть.
Пример ко второму дожиму: Откладываю декомпозицию и масштабирую вертикально там, где это дешевле, чем содержать отдельную инфраструктуру под микросервис.","Пример к основному вопросу: Смотрю на размер команды и на то, есть ли уже узкое место, которое нужно масштабировать отдельно. Если команда маленькая и нагрузка равномерная - монолит, если команда растет и части системы должны релизиться независимо - микросервисы.
Пример к первому дожиму: Если узкое место конкретное, а не вся система - выделяю в отдельный сервис только этот кусок, остальное оставляю как есть.
Пример ко второму дожиму: Откладываю декомпозицию и масштабирую вертикально там, где это дешевле, чем содержать отдельную инфраструктуру под микросервис.","Пример к основному вопросу: Смотрю на размер команды и на то, есть ли уже узкое место, которое нужно масштабировать отдельно. Если команда маленькая и нагрузка равномерная - монолит, если команда растет и части системы должны релизиться независимо - микросервисы.
Пример к первому дожиму: Если узкое место конкретное, а не вся система - выделяю в отдельный сервис только этот кусок, остальное оставляю как есть.
Пример ко второму дожиму: Откладываю декомпозицию и масштабирую вертикально там, где это дешевле, чем содержать отдельную инфраструктуру под микросервис.","Таблица Кати, вопрос 1: https://docs.google.com/spreadsheets/d/1UzFF-mgXfmzE3RdITYpf2t_IS7YiXWSb/edit"
"Расскажите про архитектурное решение, которое вы принимали на последнем проекте","Интервьюер проверяет, как вы принимаете архитектурные решения и объясняете их с учетом ограничений бизнеса и команды.",мидл-сеньор,архитектура,какие альтернативы вы рассматривали и почему отказались от них?,"Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.",а если бы вы могли вернуться и переделать - что бы изменили?,"Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.","Пример к основному вопросу: Выбирала между синхронным вызовом и очередью для уведомлений - выбрала очередь, потому что при падении сервиса рассылки уведомления не должны теряться.
Пример к первому дожиму: Рассматривала прямой REST-вызов, отказалась, потому что при недоступности сервиса рассылки уведомление терялось бы безвозвратно.
Пример ко второму дожиму: Добавила бы мониторинг глубины очереди сразу, а не через месяц после первого инцидента.","Пример к основному вопросу: Выбирала между синхронным вызовом и очередью для уведомлений - выбрала очередь, потому что при падении сервиса рассылки уведомления не должны теряться.
Пример к первому дожиму: Рассматривала прямой REST-вызов, отказалась, потому что при недоступности сервиса рассылки уведомление терялось бы безвозвратно.
Пример ко второму дожиму: Добавила бы мониторинг глубины очереди сразу, а не через месяц после первого инцидента.","Пример к основному вопросу: Выбирала между синхронным вызовом и очередью для уведомлений - выбрала очередь, потому что при падении сервиса рассылки уведомления не должны теряться.
Пример к первому дожиму: Рассматривала прямой REST-вызов, отказалась, потому что при недоступности сервиса рассылки уведомление терялось бы безвозвратно.
Пример ко второму дожиму: Добавила бы мониторинг глубины очереди сразу, а не через месяц после первого инцидента.","Таблица Кати, вопрос 2: https://docs.google.com/spreadsheets/d/1UzFF-mgXfmzE3RdITYpf2t_IS7YiXWSb/edit"
"Как вы объясните разницу между монолитом и микросервисами человеку из бизнеса, без технических терминов?","Интервьюер проверяет, как вы принимаете архитектурные решения и объясняете их с учетом ограничений бизнеса и команды.",мидл-сеньор,архитектура,"а если он после этого спросит ""так зачем нам вообще усложнять, если можно проще"" - что ответите?","Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.","а если бизнес после объяснения решит сам, что ""усложнять не будем"" - согласитесь с этим?","Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.","Пример к основному вопросу: Монолит - это когда все части магазина находятся в одном здании, микросервисы - когда каждая часть в своем здании: можно ремонтировать одно, не закрывая остальные, но между зданиями приходится ездить.
Пример к первому дожиму: Отвечаю - усложнять есть смысл, только если разные отделы магазина растут с разной скоростью и мешают друг другу.
Пример ко второму дожиму: Соглашусь, если это действительно не мешает сейчас - решение обратимое, вернемся к вопросу, когда появится конкретная боль.","Пример к основному вопросу: Монолит - это когда все части магазина находятся в одном здании, микросервисы - когда каждая часть в своем здании: можно ремонтировать одно, не закрывая остальные, но между зданиями приходится ездить.
Пример к первому дожиму: Отвечаю - усложнять есть смысл, только если разные отделы магазина растут с разной скоростью и мешают друг другу.
Пример ко второму дожиму: Соглашусь, если это действительно не мешает сейчас - решение обратимое, вернемся к вопросу, когда появится конкретная боль.","Пример к основному вопросу: Монолит - это когда все части магазина находятся в одном здании, микросервисы - когда каждая часть в своем здании: можно ремонтировать одно, не закрывая остальные, но между зданиями приходится ездить.
Пример к первому дожиму: Отвечаю - усложнять есть смысл, только если разные отделы магазина растут с разной скоростью и мешают друг другу.
Пример ко второму дожиму: Соглашусь, если это действительно не мешает сейчас - решение обратимое, вернемся к вопросу, когда появится конкретная боль.","Таблица Кати, вопрос 3: https://docs.google.com/spreadsheets/d/1UzFF-mgXfmzE3RdITYpf2t_IS7YiXWSb/edit"
"Что такое C4-диаграмма и зачем она нужна, если есть просто схема на доске?","Интервьюер проверяет, как вы принимаете архитектурные решения и объясняете их с учетом ограничений бизнеса и команды.",мидл-сеньор,архитектура,"а если тимлид скажет, что это лишняя бюрократия и трата времени - как убедите его в обратном?","Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.",а если времени рисовать C4 подробно нет - что сократите в первую очередь?,"Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.","Пример к основному вопросу: C4 - это несколько уровней детализации архитектуры, от общей картины до кода, которые можно показывать разной аудитории на нужном уровне, в отличие от схемы на доске, которая живет только в головах присутствующих.
Пример к первому дожиму: Показываю на примере - когда новый разработчик спрашивает ""а как это все устроено"", C4 экономит час объяснений на словах.
Пример ко второму дожиму: Рисую только верхний уровень - контекст и контейнеры, компоненты детализирую только для самой сложной части.","Пример к основному вопросу: C4 - это несколько уровней детализации архитектуры, от общей картины до кода, которые можно показывать разной аудитории на нужном уровне, в отличие от схемы на доске, которая живет только в головах присутствующих.
Пример к первому дожиму: Показываю на примере - когда новый разработчик спрашивает ""а как это все устроено"", C4 экономит час объяснений на словах.
Пример ко второму дожиму: Рисую только верхний уровень - контекст и контейнеры, компоненты детализирую только для самой сложной части.","Пример к основному вопросу: C4 - это несколько уровней детализации архитектуры, от общей картины до кода, которые можно показывать разной аудитории на нужном уровне, в отличие от схемы на доске, которая живет только в головах присутствующих.
Пример к первому дожиму: Показываю на примере - когда новый разработчик спрашивает ""а как это все устроено"", C4 экономит час объяснений на словах.
Пример ко второму дожиму: Рисую только верхний уровень - контекст и контейнеры, компоненты детализирую только для самой сложной части.","Таблица Кати, вопрос 4: https://docs.google.com/spreadsheets/d/1UzFF-mgXfmzE3RdITYpf2t_IS7YiXWSb/edit"
"Как вы фиксируете архитектурное решение, чтобы оно не потерялось при смене команды?","Интервьюер проверяет, как вы принимаете архитектурные решения и объясняете их с учетом ограничений бизнеса и команды.",мидл-сеньор,архитектура,а если новый разработчик не согласен с этим решением - что дальше?,"Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.",а если зафиксированное решение спустя год оказалось непонятным даже вам самой - кто в этом виноват?,"Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.","Пример к основному вопросу: Через ADR - фиксирую контекст, само решение, рассмотренные альтернативы и почему их отклонили.
Пример к первому дожиму: Показываю ADR с зафиксированными альтернативами - если его аргумент новый, а не тот, что уже рассматривали, пересматриваем решение.
Пример ко второму дожиму: Значит в нем не было контекста, а было только решение - переписываю с добавлением контекста задачи.","Пример к основному вопросу: Через ADR - фиксирую контекст, само решение, рассмотренные альтернативы и почему их отклонили.
Пример к первому дожиму: Показываю ADR с зафиксированными альтернативами - если его аргумент новый, а не тот, что уже рассматривали, пересматриваем решение.
Пример ко второму дожиму: Значит в нем не было контекста, а было только решение - переписываю с добавлением контекста задачи.","Пример к основному вопросу: Через ADR - фиксирую контекст, само решение, рассмотренные альтернативы и почему их отклонили.
Пример к первому дожиму: Показываю ADR с зафиксированными альтернативами - если его аргумент новый, а не тот, что уже рассматривали, пересматриваем решение.
Пример ко второму дожиму: Значит в нем не было контекста, а было только решение - переписываю с добавлением контекста задачи.","Таблица Кати, вопрос 5: https://docs.google.com/spreadsheets/d/1UzFF-mgXfmzE3RdITYpf2t_IS7YiXWSb/edit"
"Приведите пример, когда архитектурное решение оказалось неверным. Что вы сделали дальше?","Интервьюер проверяет, как вы принимаете архитектурные решения и объясняете их с учетом ограничений бизнеса и команды.",мидл-сеньор,архитектура,"а как вы поняли, что оно неверное - были явные сигналы или вы просто засомневались?","Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.",во что эта ошибка обошлась бизнесу по времени или деньгам?,"Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.","Пример к основному вопросу: Заложили прямые вызовы между тремя сервисами вместо общей шины - при росте числа сервисов до пяти это превратилось в неуправляемый клубок зависимостей.
Пример к первому дожиму: По времени деплоя - любое изменение в одном сервисе требовало согласования релиза еще с двумя.
Пример ко второму дожиму: Около трех недель на рефакторинг связей после того, как это стало мешать релизам.","Пример к основному вопросу: Заложили прямые вызовы между тремя сервисами вместо общей шины - при росте числа сервисов до пяти это превратилось в неуправляемый клубок зависимостей.
Пример к первому дожиму: По времени деплоя - любое изменение в одном сервисе требовало согласования релиза еще с двумя.
Пример ко второму дожиму: Около трех недель на рефакторинг связей после того, как это стало мешать релизам.","Пример к основному вопросу: Заложили прямые вызовы между тремя сервисами вместо общей шины - при росте числа сервисов до пяти это превратилось в неуправляемый клубок зависимостей.
Пример к первому дожиму: По времени деплоя - любое изменение в одном сервисе требовало согласования релиза еще с двумя.
Пример ко второму дожиму: Около трех недель на рефакторинг связей после того, как это стало мешать релизам.","Таблица Кати, вопрос 6: https://docs.google.com/spreadsheets/d/1UzFF-mgXfmzE3RdITYpf2t_IS7YiXWSb/edit"
"Как вы понимаете, что текущее решение перестаёт справляться с задачей, и когда стоит поднять вопрос о пересмотре подхода перед архитектором?","Интервьюер проверяет, как вы принимаете архитектурные решения и объясняете их с учетом ограничений бизнеса и команды.",мидл-сеньор,архитектура,а если руководство не готово выделять время на пересмотр решения - как вы аргументируете необходимость?,"Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.","а если вы подняли вопрос, а архитектор не согласился с вашей оценкой ситуации?","Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.","Пример к основному вопросу: Смотрю на конкретные сигналы - время деплоя растет, конфликты между командами в одном репозитории, нагрузка на конкретный модуль выше остальных.
Пример к первому дожиму: Показываю не абстрактный риск, а конкретную цифру - сколько часов команда теряет на конфликты за последний месяц.
Пример ко второму дожиму: Прошу назвать, какой из сигналов он не считает критичным, и почему - возможно, я переоценила один из показателей.","Пример к основному вопросу: Смотрю на конкретные сигналы - время деплоя растет, конфликты между командами в одном репозитории, нагрузка на конкретный модуль выше остальных.
Пример к первому дожиму: Показываю не абстрактный риск, а конкретную цифру - сколько часов команда теряет на конфликты за последний месяц.
Пример ко второму дожиму: Прошу назвать, какой из сигналов он не считает критичным, и почему - возможно, я переоценила один из показателей.","Пример к основному вопросу: Смотрю на конкретные сигналы - время деплоя растет, конфликты между командами в одном репозитории, нагрузка на конкретный модуль выше остальных.
Пример к первому дожиму: Показываю не абстрактный риск, а конкретную цифру - сколько часов команда теряет на конфликты за последний месяц.
Пример ко второму дожиму: Прошу назвать, какой из сигналов он не считает критичным, и почему - возможно, я переоценила один из показателей.","Таблица Кати, вопрос 7: https://docs.google.com/spreadsheets/d/1UzFF-mgXfmzE3RdITYpf2t_IS7YiXWSb/edit"
"Что важнее при выборе архитектуры - скорость разработки или масштабируемость, и от чего это зависит?","Интервьюер проверяет, как вы принимаете архитектурные решения и объясняете их с учетом ограничений бизнеса и команды.",мидл-сеньор,архитектура,"а если бизнес настаивает на скорости, а вы видите риски масштабирования - как поступите?","Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.","как вы измеряете, что решение действительно немасштабируемо, а не просто ""кажется так""?","Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.","Пример к основному вопросу: Зависит от того, есть ли уже подтвержденный спрос - если продукт не проверен, скорость важнее, потому что масштабировать нечего.
Пример к первому дожиму: Фиксирую риск письменно и закладываю в архитектуру одну точку, где потом можно будет вставить масштабирование, не переписывая все с нуля.
Пример ко второму дожиму: Смотрю на нагрузочный тест с прогнозируемым объемом, а не на ощущение.","Пример к основному вопросу: Зависит от того, есть ли уже подтвержденный спрос - если продукт не проверен, скорость важнее, потому что масштабировать нечего.
Пример к первому дожиму: Фиксирую риск письменно и закладываю в архитектуру одну точку, где потом можно будет вставить масштабирование, не переписывая все с нуля.
Пример ко второму дожиму: Смотрю на нагрузочный тест с прогнозируемым объемом, а не на ощущение.","Пример к основному вопросу: Зависит от того, есть ли уже подтвержденный спрос - если продукт не проверен, скорость важнее, потому что масштабировать нечего.
Пример к первому дожиму: Фиксирую риск письменно и закладываю в архитектуру одну точку, где потом можно будет вставить масштабирование, не переписывая все с нуля.
Пример ко второму дожиму: Смотрю на нагрузочный тест с прогнозируемым объемом, а не на ощущение.","Таблица Кати, вопрос 8: https://docs.google.com/spreadsheets/d/1UzFF-mgXfmzE3RdITYpf2t_IS7YiXWSb/edit"
"Как вы обосновываете архитектурное решение перед командой, которая с ним не согласна?","Интервьюер проверяет, как вы принимаете архитектурные решения и объясняете их с учетом ограничений бизнеса и команды.",мидл-сеньор,архитектура,"а если команда все равно настаивает на своем варианте, а сроки поджимают - что делаете?","Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.","а если в процессе спора вы понимаете, что команда права - как отступите?","Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.","Пример к основному вопросу: Показываю критерий, по которому решение выбрано, и прошу назвать, какой критерий команда считает более важным - спор из ""мне нравится другое"" превращается в спор о приоритетах.
Пример к первому дожиму: Если расхождение принципиальное - эскалирую архитектору для финального решения, а не продавливаю сама.
Пример ко второму дожиму: Открыто меняю позицию на встрече, это дешевле, чем упорствовать.","Пример к основному вопросу: Показываю критерий, по которому решение выбрано, и прошу назвать, какой критерий команда считает более важным - спор из ""мне нравится другое"" превращается в спор о приоритетах.
Пример к первому дожиму: Если расхождение принципиальное - эскалирую архитектору для финального решения, а не продавливаю сама.
Пример ко второму дожиму: Открыто меняю позицию на встрече, это дешевле, чем упорствовать.","Пример к основному вопросу: Показываю критерий, по которому решение выбрано, и прошу назвать, какой критерий команда считает более важным - спор из ""мне нравится другое"" превращается в спор о приоритетах.
Пример к первому дожиму: Если расхождение принципиальное - эскалирую архитектору для финального решения, а не продавливаю сама.
Пример ко второму дожиму: Открыто меняю позицию на встрече, это дешевле, чем упорствовать.","Таблица Кати, вопрос 9: https://docs.google.com/spreadsheets/d/1UzFF-mgXfmzE3RdITYpf2t_IS7YiXWSb/edit"
"Расскажите, как устроена архитектура вашего текущего проекта, и что бы вы в ней изменили сегодня","Интервьюер проверяет, как вы принимаете архитектурные решения и объясняете их с учетом ограничений бизнеса и команды.",мидл-сеньор,архитектура,"а почему до сих пор не изменили, если видите проблему?","Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.",если бы у вас был полный карт-бланш - с чего начали бы в первую очередь?,"Интервьюер меняет одно из ограничений исходной ситуации. Объясните, как это влияет на архитектурное решение и почему.","Пример к основному вопросу: Сейчас часть отчетности считается прямо в рабочей БД - изменила бы, вынеся аналитику в отдельное хранилище.
Пример к первому дожиму: Это требует отдельного проекта с ресурсами, которые пока не выделены, а текущая боль не критична.
Пример ко второму дожиму: Начала бы именно с выноса аналитики, потому что это уже измеримо тормозит операционные запросы.","Пример к основному вопросу: Сейчас часть отчетности считается прямо в рабочей БД - изменила бы, вынеся аналитику в отдельное хранилище.
Пример к первому дожиму: Это требует отдельного проекта с ресурсами, которые пока не выделены, а текущая боль не критична.
Пример ко второму дожиму: Начала бы именно с выноса аналитики, потому что это уже измеримо тормозит операционные запросы.","Пример к основному вопросу: Сейчас часть отчетности считается прямо в рабочей БД - изменила бы, вынеся аналитику в отдельное хранилище.
Пример к первому дожиму: Это требует отдельного проекта с ресурсами, которые пока не выделены, а текущая боль не критична.
Пример ко второму дожиму: Начала бы именно с выноса аналитики, потому что это уже измеримо тормозит операционные запросы.","Таблица Кати, вопрос 10: https://docs.google.com/spreadsheets/d/1UzFF-mgXfmzE3RdITYpf2t_IS7YiXWSb/edit"
