question_text,question_context,grade,topic,followup_1,followup_1_context,followup_2,followup_2_context,answer_junior,answer_middle,answer_senior,source
Что такое идемпотентность и зачем она нужна в API?,"Представь, что на собеседовании обсуждают обмен данными между сервисами и надежность интеграций.",джун-мидл,интеграции,"Клиент отправил POST-запрос на создание заказа. Сеть упала - он не знает, создался ли заказ. Отправил повторно. Что произошло в системе без idempotency-key?","интервьюер хочет проверить, как ты применишь ответ на практике.",Как технически реализовать идемпотентный POST? Что должен передать клиент и как сервер должен это обработать?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Идемпотентность - это когда одинаковый запрос даёт одинаковый результат. Минус: определение верное, но нет понимания зачем это нужно в реальной системе.","Идемпотентный запрос можно повторить несколько раз - результат не изменится, данные ресурса не меняются. Важно для надёжности сети. Минус: чуть глубже, но нет конкретики как реализовать.","Идемпотентность нужна потому что сети ненадёжны - клиент может отправить запрос дважды или N раз. Без неё создадутся два заказа. Решение: клиент передаёт idempotency-key в заголовке, сервер кэширует ответ по этому ключу и при повторном запросе возвращает тот же результат без повторной обработки. Плюс: проблема + решение + механика.","Катя, 7 вопросов с мок-собесов"
"Как аналитик описывает микросервисную систему в документации, чтобы поняли и разработчик, и бизнес?","Представь, что интервьюер просит тебя объяснить архитектурное решение на реальном продукте.",мидл-сеньор,архитектура,"Какие артефакты используешь: C4, каталог сервисов, контракты?","интервьюер хочет проверить, как ты применишь ответ на практике.","Как покажешь, кто за что отвечает и как сервисы общаются?",Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Опишу сервисы текстом и нарисую схему, как они связаны. Минус: нет структуры и стандартных артефактов - такую схему каждый поймет по-своему.","Рисую диаграмму сервисов, описываю каждый и его API. Использую C4 для архитектуры. Минус: называет C4, но не раскрывает уровни и не связывает с контрактами и зонами ответственности.","Захожу сверху вниз. Контекст C4 - система и внешние акторы, понятно бизнесу. Контейнеры - сами сервисы и протоколы между ними. Каталог сервисов - таблица: сервис, его бизнес-ответственность, чьими данными владеет, какие события публикует. Контракты выношу отдельно: OpenAPI, AsyncAPI. Бизнесу показываю контекст и потоки, разработке - контейнеры и контракты. Один словарь терминов на всех. Плюс: уровни C4 под разную аудиторию + каталог ответственности + контракты + единый глоссарий.","Катя, 7 вопросов с мок-собесов"
Что такое BFF (Backend for Frontend) и зачем он нужен в микросервисах?,"Представь, что интервьюер просит тебя объяснить архитектурное решение на реальном продукте.",мидл,архитектура,Мобильное и веб-приложение с разными потребностями в данных. Как BFF помогает?,"интервьюер хочет проверить, как ты применишь ответ на практике.",Чем BFF отличается от обычного API Gateway?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"BFF - это бэкенд для фронтенда, слой между приложением и сервисами. Минус: расшифровал аббревиатуру, но не объяснил, какую проблему он решает.","BFF собирает данные из нескольких сервисов под конкретный клиент, чтобы фронт не делал много запросов. У мобильного и веба могут быть свои BFF. Минус: суть уловил, но не отделяет BFF от API Gateway и не называет цену лишнего слоя.","BFF - отдельный бэкенд под конкретный тип клиента. Мобильному нужен компактный ответ и меньше запросов, вебу - больше данных за раз; вместо того чтобы тащить эту логику в каждый сервис или в клиент, BFF агрегирует вызовы и отдает ровно тот формат, что нужен клиенту. Отличие от API Gateway: gateway - общий технический слой (аутентификация, маршрутизация, rate limiting) для всех, а BFF - клиентоориентированный, со своей сборкой под мобильный или веб. Минус - лишний слой и дублирование. Плюс: проблема + сценарий + отличие от gateway.","Катя, 7 вопросов с мок-собесов"
Как спланируешь миграцию данных из старой системы в новую без потерь?,"Представь, что собеседование дошло до хранения данных и практических решений по базе.",мидл-сеньор,бд,"Как проверишь, что данные перенеслись корректно и ничего не потерялось?","интервьюер хочет проверить, как ты применишь ответ на практике.",Старая система еще работает и данные меняются во время переноса. Что делаешь?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Выгружу данные из старой базы и загружу в новую. Проверю, что записи на месте. Минус: одноразовый перенос без плана отката и без учета, что данные меняются по ходу.","Делаю выгрузку и загрузку с маппингом полей, сверяю количество записей. Миграцию проводить в окно, когда система не используется. Минус: сверки по числу записей мало, окно простоя не всегда возможно, нет плана отката.","План: маппинг полей, миграция батчами, сверка не только по количеству, но и по ключевым агрегатам. Если систему нельзя останавливать: переносить исторические данные, догонять изменения, какое-то время писать в обе системы, переключать чтение, потом отключать старую. На каждом шаге - план отката. Плюс: план + проверки + миграция без простоя + откат.","Катя, 7 вопросов с мок-собесов"
Как описываешь нефункциональные требования к системе?,"Представь, что интервьюер проверяет, как ты работаешь с требованиями в реальном проекте.",мидл-сеньор,требования,Бизнес говорит система должна быть быстрой и надежной. Переформулируй в измеримые NFR.,"интервьюер хочет проверить, как ты применишь ответ на практике.","Что такое SLI, SLO, SLA и как пропишешь их в постановке?",Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Пишу, что система должна работать быстро и не падать. Минус: нет измеримости. Быстро - это пожелание, а не требование.","Описываю время ответа, доступность в процентах, нагрузку. Например, ответ за 200 мс, доступность 99.9%. Минус: есть цифры, но нет понимания, откуда они и как договариваться с бизнесом.","NFR - измеримые ограничения. Начинаю с бизнес-контекста: сколько пользователей, какая критичность. Формулирую через перцентили: p95 < 200 мс при нагрузке 1000 RPS, доступность 99.9% (это 8.7 часов даунтайма в год). SLA - что гарантируем бизнесу. В постановке всегда указываю условия замера: не просто 200 мс, а 200 мс при нагрузке X в нормальных условиях. Плюс: методология + конкретика + разница цифр в понимании.","Катя, 7 вопросов с мок-собесов"
"Расскажи, что такое REST: основные принципы, HTTP-методы, статус-коды.","Представь, что на собеседовании обсуждают обмен данными между сервисами и надежность интеграций.",джун,интеграции,Чем отличается PUT от PATCH? Когда использовать 422 вместо 400?,"интервьюер хочет проверить, как ты применишь ответ на практике.",Что такое идемпотентность и где передается idempotency-key в POST-запросе?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,Перечисляет методы GET/POST/PUT/DELETE и пару кодов. Минус: набор фактов без семантики.,"Объясняет методы и коды корректно, знает про stateless. Минус: не различает близкие коды и не объясняет выбор.","REST - архитектурный стиль: ресурсы в URI, stateless, единообразный интерфейс, семантика через HTTP-методы. PUT заменяет ресурс целиком (непереданные поля обнуляются), PATCH меняет только переданные поля; оба идемпотентны по спецификации, POST - нет. 400 - синтаксически некорректный запрос, 422 - синтаксис верный, но нарушены бизнес-правила валидации. Идемпотентность POST достигается через idempotency-key в заголовке: сервер кэширует ответ по ключу и на повтор отдает тот же результат.","Катя, Карта зон роста"
"Спроектируй REST-эндпоинт: что опишешь в запросе, ответе, ошибках, версионировании?","Представь, что на собеседовании обсуждают обмен данными между сервисами и надежность интеграций.",мидл,интеграции,Как обеспечить обратную совместимость при изменении контракта API?,"интервьюер хочет проверить, как ты применишь ответ на практике.","Как правильно описать пагинацию - что в запросе, что в ответе? В чём разница для нагруженной системы?",Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Пишет URL и метод, примерный JSON. Минус: нет ошибок, версионирования, валидации.","Описывает запрос, ответ, основные коды ошибок, версию в URL. Минус: не думает про эволюцию контракта и нагрузку.","В постановке: метод, URI, path/query-параметры, тело запроса с типами и обязательностью, тело ответа, полный список кодов ошибок с бизнес-смыслом, авторизация, идемпотентность, лимиты. Обратная совместимость: только аддитивные изменения (новые опциональные поля), не удалять и не переименовывать существующие, не менять типы; ломающие изменения - через новую версию (/v2 или заголовок), со сроком жизни старой. Пагинация: offset/limit проста, но на больших смещениях деградирует - БД всё равно сканирует пропущенные строки; для нагруженных систем cursor-based (keyset) по стабильному ключу. В ответе - сами данные + метаданные (курсор/общее число, если оно дешево считается).","Катя, Карта зон роста"
"Расскажи основы Kafka: что такое брокер, топик, партиция, консьюмер-группа.","Представь, что на собеседовании обсуждают обмен данными между сервисами и надежность интеграций.",джун,интеграции,Чем отличается очередь от топика Kafka? Что будет если добавить нового консьюмера в группу?,"интервьюер хочет проверить, как ты применишь ответ на практике.",Что такое offset и как консьюмер может прочитать сообщение повторно? Где Kafka может потерять сообщения?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Называет термины, путает партицию и топик. Минус: определения без механики.","Объясняет структуру верно. Минус: не связывает с ребалансировкой, порядком и потерями.","Топик - логический канал, делится на партиции для параллелизма; порядок гарантируется только внутри партиции. Консьюмер-группа: одна партиция читается одним консьюмером группы, добавление консьюмера вызывает ребалансировку, лишние сверх числа партиций простаивают. Отличие от классической очереди: в Kafka сообщение не удаляется после чтения, оно живёт по retention, а позицию хранит offset - поэтому можно перечитать, сдвинув offset. Потери возможны: продюсер с acks=0/1 при падении лидера, коммит offset до обработки, истечение retention до прочтения.","Катя, Карта зон роста"
Спроектируй Kafka-интеграцию для разработчиков: что войдёт в постановку?,"Представь, что на собеседовании обсуждают обмен данными между сервисами и надежность интеграций.",сеньор,интеграции,Как описать в требованиях к Kafka-интеграции политики retry и гарантии доставки?,"интервьюер хочет проверить, как ты применишь ответ на практике.",Что делать если консьюмер упал в середине обработки сообщения? Как гарантировать exactly-once?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Опишу, что сервис читает из топика. Минус: нет контракта, ошибок, гарантий.","Опишу топик, формат сообщения, кто продюсер и консьюмер. Минус: нет retry, DLQ, идемпотентности.","В постановке: контекст задачи, sequence-диаграмма, топик и его партиционирование (ключ и почему), контракт сообщения с маппингом полей, схема и её эволюция (Schema Registry), логика чтения и записи, гарантии доставки и момент коммита offset, политика retry (сколько попыток, backoff), DLQ и что с ним делают дальше, correlation id для трассировки, требования к логированию и мониторингу лага. Exactly-once в чистом виде дорог: практичнее at-least-once + идемпотентный консьюмер по бизнес-ключу.","Катя, Карта зон роста"
"Что такое gRPC, чем отличается от REST и когда его применяют?","Представь, что на собеседовании обсуждают обмен данными между сервисами и надежность интеграций.",мидл,интеграции,Почему gRPC быстрее REST для межсервисного взаимодействия? Что под капотом?,"интервьюер хочет проверить, как ты применишь ответ на практике.",Как описать контракт gRPC-сервиса для команды разработки в proto?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"gRPC - это способ вызова методов другого сервиса, быстрее REST. Минус: нет механики.","Знает про protobuf и HTTP/2, называет применение внутри системы. Минус: не объясняет trade-off и не описывает контракт.","gRPC - RPC поверх HTTP/2 с бинарной сериализацией protobuf и строгим контрактом в .proto. Быстрее REST+JSON за счёт: бинарный компактный формат вместо текстового JSON, мультиплексирование потоков в одном соединении HTTP/2, сжатие заголовков, поддержка стриминга. Применяют для внутреннего межсервисного взаимодействия, где важна латентность и строгий контракт; наружу для браузеров и публичных партнёров обычно оставляют REST - proto хуже читается человеком и требует кодогенерации. Контракт: в .proto описываются service с методами, message с полями и их номерами; номера полей нельзя переиспользовать - это основа обратной совместимости.","Катя, Карта зон роста"
